chemin, class, classe_LOC, classe_CLOC, classe_DC 
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\ItemHandler.java,ItemHandler,151,89,0.589404
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\KeyHandler.java,KeyHandler,141,88,0.6241135
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\PieDatasetHandler.java,PieDatasetHandler,121,76,0.6280992
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\RootHandler.java,RootHandler,114,75,0.65789473
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\ValueHandler.java,ValueHandler,147,87,0.59183675
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\CategoryTableXYDataset.java,CategoryTableXYDataset,383,241,0.62924284
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\DefaultHighLowDataset.java,DefaultHighLowDataset,398,243,0.6105528
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\DefaultIntervalXYDataset.java,DefaultIntervalXYDataset,525,331,0.6304762
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\DefaultOHLCDataset.java,DefaultOHLCDataset,320,192,0.6
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\DefaultTableXYDataset.java,DefaultTableXYDataset,582,292,0.5017182
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\DefaultWindDataset.java,DefaultWindDataset,394,208,0.52791876
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\DefaultXYDataset.java,DefaultXYDataset,359,214,0.5961003
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\DefaultXYZDataset.java,DefaultXYZDataset,402,247,0.61442786
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\IntervalXYDelegate.java,IntervalXYDelegate,436,261,0.5986239
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\MatrixSeries.java,MatrixSeries,200,126,0.63
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\MatrixSeriesCollection.java,MatrixSeriesCollection,272,164,0.60294116
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\NormalizedMatrixSeries.java,NormalizedMatrixSeries,131,97,0.740458
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\OHLCDataItem.java,OHLCDataItem,182,105,0.5769231
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\Vector.java,Vector,135,90,0.6666667
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\VectorDataItem.java,VectorDataItem,117,81,0.6923077
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\VectorSeries.java,VectorSeries,162,118,0.72839504
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\VectorSeriesCollection.java,VectorSeriesCollection,303,188,0.62046206
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy\XIntervalDataItem.java,XIntervalDataItem,104,70,0.6730769
